INFO 2026-03-15 01:46:50,795 autoreload 32592 16516 Watching for file changes with StatReloader
WARNING 2026-03-15 01:47:13,133 log 32592 25088 Not Found: /
WARNING 2026-03-15 01:47:13,134 log 32592 25088 "GET / HTTP/1.1" 404 2633
WARNING 2026-03-15 01:47:27,588 log 32592 25088 Not Found: /api/
WARNING 2026-03-15 01:47:27,588 log 32592 25088 "GET /api/ HTTP/1.1" 404 2663
WARNING 2026-03-15 01:47:40,794 log 32592 25088 Not Found: /api/v1
WARNING 2026-03-15 01:47:40,796 log 32592 25088 "GET /api/v1 HTTP/1.1" 404 2669
INFO 2026-03-15 01:48:01,696 log 32592 25088 "GET /admin HTTP/1.1" 301 0
INFO 2026-03-15 01:48:01,757 log 32592 25088 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-15 01:48:01,886 log 32592 25088 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-15 01:48:02,686 log 32592 2240 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-03-15 01:48:02,725 log 32592 30052 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-03-15 01:48:02,728 log 32592 19012 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-03-15 01:48:02,736 log 32592 32508 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-03-15 01:48:02,738 log 32592 25088 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-03-15 01:48:02,742 log 32592 30624 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-03-15 01:48:02,757 log 32592 22992 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-03-15 01:48:02,765 log 32592 30624 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-03-15 01:48:02,792 log 32592 22992 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2026-03-15 01:49:19,515 log 32592 30624 Not Found: /api/v1/
WARNING 2026-03-15 01:49:19,515 log 32592 30624 "GET /api/v1/ HTTP/1.1" 404 4274
WARNING 2026-03-15 01:49:42,010 log 32592 30624 Forbidden: /api/v1/users/
WARNING 2026-03-15 01:49:42,010 log 32592 30624 "GET /api/v1/users/ HTTP/1.1" 403 9906
INFO 2026-03-15 01:49:42,125 log 32592 32508 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2026-03-15 01:49:42,125 log 32592 25088 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-03-15 01:49:42,125 log 32592 19012 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-03-15 01:49:42,125 log 32592 2240 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2026-03-15 01:49:42,130 log 32592 30052 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2026-03-15 01:49:42,130 log 32592 30624 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-03-15 01:49:42,146 log 32592 32508 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-03-15 01:49:42,150 log 32592 30052 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2026-03-15 01:49:42,151 log 32592 19012 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-03-15 01:49:42,151 log 32592 30624 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-03-15 01:49:42,153 log 32592 22992 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2026-03-15 01:49:42,176 log 32592 19012 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-03-22 13:47:34,670 autoreload 21556 21820 Watching for file changes with StatReloader
INFO 2026-03-22 13:56:26,548 autoreload 24996 7928 Watching for file changes with StatReloader
INFO 2026-03-22 14:37:17,757 autoreload 21352 25096 Watching for file changes with StatReloader
INFO 2026-03-22 15:13:43,855 autoreload 21092 18088 Watching for file changes with StatReloader
WARNING 2026-03-22 15:17:29,384 log 21092 11156 Not Found: /
WARNING 2026-03-22 15:17:29,387 log 21092 11156 "GET / HTTP/1.1" 404 2633
INFO 2026-03-22 15:50:26,697 autoreload 9312 5164 Watching for file changes with StatReloader
INFO 2026-03-22 15:50:40,819 log 9312 13760 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 15:50:41,491 log 9312 13760 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-22 15:50:42,471 log 9312 15672 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-03-22 15:50:42,568 log 9312 12828 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-03-22 15:50:42,592 log 9312 10904 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-03-22 15:50:42,651 log 9312 13760 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-03-22 15:50:42,656 log 9312 2152 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-03-22 15:50:42,676 log 9312 19312 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-03-22 15:50:42,716 log 9312 2152 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2026-03-22 15:50:43,123 log 9312 2152 Not Found: /favicon.ico
WARNING 2026-03-22 15:50:43,125 log 9312 2152 "GET /favicon.ico HTTP/1.1" 404 2684
WARNING 2026-03-22 15:51:13,758 log 9312 2152 Not Found: /transporteur
WARNING 2026-03-22 15:51:13,761 log 9312 2152 "GET /transporteur HTTP/1.1" 404 2687
WARNING 2026-03-22 15:52:12,621 log 9312 2152 Not Found: /api/v1/
WARNING 2026-03-22 15:52:12,625 log 9312 2152 "GET /api/v1/ HTTP/1.1" 404 4274
WARNING 2026-03-22 15:52:35,030 log 9312 2152 Not Found: /api/passager/
WARNING 2026-03-22 15:52:35,031 log 9312 2152 "GET /api/passager/ HTTP/1.1" 404 2690
WARNING 2026-03-22 15:52:48,304 log 9312 2152 Not Found: /passager/
WARNING 2026-03-22 15:52:48,307 log 9312 2152 "GET /passager/ HTTP/1.1" 404 2678
